a,b,c,d
3.445108265946620918e+01,3.835366280801040517e+01,5.376520005119613188e+01,5.868550237836801386e+01
4.397449362521098237e+01,4.476286015752989300e+01,5.763993742400595011e+01,5.073425924734490877e+01
3.215998027121327851e+01,2.940997604337165683e+01,3.243068402554592922e+01,3.801346875324667707e+01
2.188734928120208565e+02,1.327612733057680998e+02,2.009154488185914147e+02,2.056951686688988161e+02
2.084142209556688385e+01,1.612215589485700917e+01,3.559226374055609199e+01,3.539718595333245332e+01
1.202053595162437638e+01,2.074693493673927236e+01,3.321409475126596078e+01,3.112784824494164226e+01
3.880119186236961326e+01,3.778169669507995820e+01,3.914269923595575307e+01,4.551080352921041339e+01
3.832066282031944127e+01,4.090879769278402733e+01,3.975468692148646710e+01,5.259899881871372429e+01
3.398959723248709963e+01,3.193108171682969854e+01,2.230656165648370148e+01,3.275480359898435978e+01
1.532685818575286874e+01,1.482024654357957516e+01,1.278273923297653880e+01,2.138106739020407332e+01
6.518335194452416204e+01,8.749177532177446892e+01,6.873505159872644299e+01,8.319870354751583363e+01
0.000000000000000000e+00,4.981971870544311543e+01,3.839885990740950206e+01,4.321214469070921638e+01
3.250200330624221579e+01,4.208440821682629007e+01,3.524676000815200183e+01,4.344165633890550282e+01
9.484672897078061737e+01,1.087205520461696295e+02,7.816925992490284614e+01,8.745983497814690111e+01
2.739800426797343036e+01,3.099983501023323740e+01,3.334612089125714363e+01,3.188008053481449267e+01
5.789177969823988690e+00,2.351340120984949777e+01,2.547257565648877176e+01,3.429267779098214675e+01
4.383745866793697843e+01,4.050025330432465864e+01,2.515979304386318205e+01,1.075089954250700330e+01
5.728245399677022220e+01,1.216928753405373698e+02,1.318315570479073529e+02,1.397865450779711409e+02
4.913325408898175795e+01,7.768352098443762088e+01,8.053561893591917453e+01,4.522635088385891322e+01
2.756798277879912717e+01,4.057874666635130723e+01,4.337299053394384885e+01,6.278935458606012787e+01
4.223551684348498725e+01,4.117842828247452758e+01,4.310440603796354253e+01,3.652296327668238973e+01
6.677166025413714578e+01,6.154988075784918067e+01,3.386663598455614022e+01,3.580717379883225959e+01
1.499013033495711511e+02,1.622015913328363297e+02,1.899034868548784516e+02,1.280271978945484932e+02
1.003782584458435991e+02,9.781787061276865813e+01,8.933998732367398077e+01,8.333526653411439611e+01
7.843646776609496385e+01,8.119532058802766983e+01,7.017518845606318223e+01,8.095258896043030461e+01
3.848175674231067944e+01,3.287137438959538827e+01,4.775788123891463499e+01,2.839555234644048554e+01
4.470224809629132068e+01,2.706687620015310713e+01,4.446933948846825757e+01,6.115668763792564278e+01
3.740923079237229132e+01,4.227303312248083955e+01,3.525003128727557566e+01,1.506804389463700744e+01
4.493373645596795996e+01,2.494989685277271718e+01,5.216961902952235164e+01,5.037341280132163490e+01
3.246786842795565775e+01,-3.400056686018407603e+00,2.651923958335890674e+00,4.752595692700025154e+01
7.461159691677451633e+01,7.839009574999624874e+01,7.229440469358137022e+01,4.779781048191443915e+01
5.184924927690098428e+01,4.597059068291112993e+01,4.790663797306832805e+01,5.715729095222503986e+01
8.526888620268454133e+01,8.992135611942401852e+01,1.027175393673291950e+02,1.256409574460126350e+02
7.755077002506654082e+01,7.200690507284322450e+01,6.165645828305198961e+01,7.037690859362103879e+01
1.434050380906976443e+02,1.517240540563838067e+02,1.618968355984805783e+02,1.180980563809520447e+02
9.101118063843451012e+01,8.223402979014079506e+01,8.030892812455093122e+01,1.027933835796421960e+02
2.126631503649012345e+01,2.517850851819211755e+01,8.265979826638574224e+00,1.775377464516238746e+01
1.912436641645201405e+02,1.870890197665698906e+02,1.972213914621152071e+02,1.844012200828706511e+02
1.014123780145794598e+02,6.529681131500474578e+01,1.172365701758408960e+02,8.033869911685009413e+01
4.398875455359431186e+01,4.939160070107297429e+01,4.208966898105080645e+01,4.721001639224802204e+01
3.022954064716822487e+01,2.031221523067551971e+01,2.459755256873742368e+01,3.019191150996445572e+01
3.764018024784619598e+01,3.528261213478160840e+01,2.795190339194947882e+01,2.263667603316897470e+01
4.603189195182946492e+01,4.305617429485366898e+01,2.616982856710529859e+01,5.610755722714480953e+01
2.397845552804453817e+01,1.817105034918029460e+01,2.465645057041411903e+01,1.955441573075956541e+01
7.967272327146986299e+01,8.689580339509025464e+01,7.129243772061690265e+01,8.356903991565107503e+01
1.675940608505502496e+02,1.440048677924699518e+02,1.739005644047792885e+02,1.703514270639706751e+02
1.988607477461948747e+01,2.128806780693801670e+01,2.134498196269753478e+01,1.879513713540859854e+01
6.460838544113306625e+01,6.669767988021567362e+01,6.998468257737633280e+01,1.091138597582865373e+02
3.225713339558665638e+01,4.005410123678313283e+01,4.598125741451233495e+01,3.807394929591895050e+01
2.157705807424294449e+02,2.186658924414578564e+02,1.739042041874096469e+02,1.947815448212564320e+02
6.251554533768852906e+01,4.416246023129400555e+01,5.692588564377948757e+01,4.099414826749038099e+01
3.863003725132965371e+01,5.980645598850109934e+01,4.871951208184253801e+01,4.115588997760456635e+01
1.716987634365003856e+01,2.130270698505464111e+01,1.734286765570173117e+01,2.543356157214920898e+01
0.000000000000000000e+00,-5.916446502965563070e+00,6.458885064930930398e-01,7.540325327867067884e+00
3.761190470345358250e+01,4.254931450554897765e+01,4.449463234653975974e+01,4.832325271268123856e+01
3.837353979814810856e+01,4.730749945305713311e+01,6.287243912017524394e+01,5.442768631462119089e+01
4.509741810363910020e+01,4.184019278973465816e+01,4.192415391212827558e+01,3.690016156601233632e+01
3.172880161733695914e+01,2.203186483297032794e+01,1.731286565479540229e+01,1.445712710632993492e+01
5.021583823766651733e+01,9.480313456644198311e+01,9.139700658757057283e+01,6.839855757464283670e+01
2.282209720401391451e+01,1.683934136555057393e+01,2.742490983803148552e+01,2.763370567114922594e+01
3.225314151520480976e+01,3.123510573483611452e+01,2.236670781459453750e+01,3.440757272421915047e+01
8.235150244827806887e+01,7.240918608852646798e+01,5.576892864326039501e+01,5.628108715543245921e+01
2.189749477203308174e+02,2.360669779449699774e+02,2.441188652019894221e+02,2.280672319869457851e+02
1.188395330149415052e+01,2.046948195697047623e+01,1.747183216581798604e+01,3.042181475481413955e+01
8.697790807565866089e+00,1.645343835276148781e+01,1.185692549992791989e+01,1.221230057013592507e+01
1.928423279643332222e+01,3.517488536038582936e+01,3.276099901892082755e+01,3.049106561850079444e+01
8.021762352957301800e+01,8.272729631609584544e+01,6.253220495378793231e+01,8.063619850759263841e+01
2.950307878204845480e+01,4.881419695478936660e+01,3.281334257370922103e+01,2.984536008244803185e+01
6.592611049816653690e+01,6.554493161687398128e+01,6.237883466533998700e+01,6.210775299695386309e+01
2.423024469122729485e+01,2.590531152335104537e+01,3.306561092202139918e+01,3.409199989710472067e+01
1.681067828364234273e+01,1.675688632482923168e+01,1.974173468634593576e+01,1.411482726539416888e+01
8.183163426707496058e+01,8.525714937616116629e+01,6.884797255257812765e+01,6.856053183032614129e+01
3.650472214599352583e+01,3.523339043917879110e+01,5.006862514155737642e+01,3.780992595480542207e+01
3.490474085706513563e+01,5.899676688033183325e+01,5.371219709192943981e+01,5.037562203398503868e+01
8.456879734256557413e+01,8.324700086977235003e+01,3.298410612144975573e+01,7.762700338469755934e+01
7.548746042574791204e+01,8.923463458223878320e+01,8.694680615127907686e+01,9.038085422328225604e+01
2.389820351979627588e+01,4.164772917367557170e+01,2.965628053178669887e+01,5.102075563048823170e+01
1.928051336423894568e+01,3.003198681054068686e+01,2.477178409994894537e+01,4.629157157564589653e+01
1.427642567710554999e+02,5.122046693323648014e+01,6.493042317871490354e+01,4.662670016889264701e+01
1.004268974917755344e+02,6.667704306228982603e+01,5.388958638835969595e+01,1.016419501170918522e+02
8.099857436131142663e+01,4.732326659024559490e+01,4.930503367734475262e+01,1.002250825925793549e+02
1.440999830178675900e+01,1.440999830178675545e+01,1.440999830178675545e+01,1.440999830178675545e+01
1.287145016127458419e+01,6.826616807630125905e+00,1.399902081336175641e+01,1.181383735603103347e+01
4.551803218191045630e+01,2.989884804431844678e+00,7.714229942495090597e+01,5.215961644665647867e+01
5.569153055045885026e+01,6.838435303591219849e+01,8.744250583544388178e+01,-6.484996193423602229e-01
3.660391526430165499e+01,3.310007131336914199e+01,1.905856444038770192e+01,2.767828069764778220e+01
4.817799777581609533e+01,4.693195903800346969e+01,4.497027746835148321e+01,4.907935808917477516e+01
9.632536464194495807e+01,1.101390894668542018e+02,1.062236157688687257e+02,1.110178820117745886e+02
3.075085017261148224e+01,2.093304539761375338e+01,1.688697583609312858e+01,3.101232017404789332e+01
4.323492113574724982e+01,5.851681807936225255e+01,4.448248944705493813e+01,6.448244342486567859e+01
3.407551934248240855e+01,3.538975670884739344e+01,3.338703874549986494e+01,4.277880370600834681e+01
2.929540648168711314e+01,1.994845771577778493e+01,2.169013832284992915e+01,2.057720041403364064e+01
1.135111512655907546e+02,1.468457636300623506e+02,1.457484859601547953e+02,1.338108212509752661e+02
3.577746525441762770e+01,3.605310853308196783e+01,3.844386260387469889e+01,3.383654110635509937e+01
9.324693448531726858e+01,4.628866877197819463e+01,9.654371029188754960e+01,7.877387917129127004e+01
1.313331072676592157e+02,1.343326308318910094e+02,1.330381468559905329e+02,1.038727228529653530e+02
4.942261441333192096e+01,3.615084340291137721e+01,3.477339495991353147e+01,3.243617976519890789e+01
4.886706086729451926e+01,5.370953599220979413e+01,5.493991459457110693e+01,4.369518884744240950e+01
1.038641776494870328e+02,1.152791553906699988e+02,1.153512766863388777e+02,1.094385830422703094e+02
6.547860355685169509e+01,6.696288748548050762e+01,7.463081334063649308e+01,6.773495447426213900e+01
3.056113744858567571e+01,1.669032267590239726e+01,1.874083271117532945e+01,1.947859351502009773e+01
7.315898942962598994e+01,8.173898948518521479e+01,1.303616296039165263e+02,1.361022846324351008e+02
9.291256117062872022e+01,1.181754596733718614e+02,1.207765539867537541e+02,1.135617582873640572e+02
4.434155718307697214e+01,6.380555068015318909e-01,3.636607046033564927e+01,4.769438781468510768e+01
1.236108707551251769e+02,7.455189669322237478e+01,1.415997945900319053e+02,1.367224198346484627e+02
4.013593911255435387e+01,3.544382328965873796e+01,3.312741533602444122e+01,3.618319484294666921e+01
6.783495957546045929e+01,7.151796587991577780e+01,7.294455959123493471e+01,7.294455959123493471e+01
2.723104946967617366e+02,2.474558097620156900e+02,2.423930011113744740e+02,2.506599362758817620e+02
5.303554077176589487e+01,3.279344195986236343e+01,4.319129737857885942e+01,4.885218288484760052e+01
1.576566018697416212e+02,2.744993882166001526e+02,2.590399140979167782e+02,2.956087318880513521e+02
1.371678161764500459e+01,2.874170215516349458e+01,1.252345710100855669e+01,1.451623178112818913e+01
2.162927720664488263e+01,9.335693868849627819e+00,2.598886185077856226e+01,1.518933420710300553e+01
2.762226275080622599e+02,2.315942899620138746e+02,1.309429212311879382e+02,1.436695594730248899e+02
3.284667208050562692e+01,4.504354668376616644e+01,3.929072935583194237e+01,4.149264816098977349e+01
1.878860006992954368e+01,2.067154725659995407e+01,2.077385292064286659e+01,2.137565531190301371e+01
3.746852132090867826e+01,4.369398654283466499e+01,3.228696488094095685e+01,3.238154524995629657e+01
3.740204135626397886e+01,3.908701548370527235e+01,1.121130430307629666e+01,2.391092776466022940e+01
8.002731766361381460e+01,1.063839407589716188e+02,4.371067759696664723e+01,9.307016082822579506e+01
1.064077857529937461e+02,1.300265657202718899e+02,1.300265657202718899e+02,1.064077857529937461e+02
1.326612706637017070e+01,1.379103950115836597e+01,1.181281011840387407e+01,1.511060347024408834e+01
1.071102857018261112e+01,2.862722329350878425e+01,2.416264396170617346e+01,2.097096170314375563e+00
7.184061803180310335e+01,7.188266151218768130e+01,8.436744509613245668e+01,8.944195238964998396e+01
4.373835431895251702e+01,2.961589742787645640e+00,4.268496734604896403e+01,4.018094198744994827e+01
1.534240780405928817e+01,8.325493010184501941e+00,1.084870848201511073e+01,9.083928308059260104e+00
2.946497349569454371e+01,4.729683467850984613e+01,2.522883117547361920e+01,4.543851721924905718e+01
4.471948441642298633e+01,4.243718392577656573e+01,4.305824249739202969e+01,4.609777477011306956e+01
7.052366280009172783e+01,7.341906643764684759e+01,5.882893733804334602e+01,5.870294653528544870e+01
2.298386781841574944e+01,2.066019468014797056e+01,1.619781585589925044e+01,3.445978745900357865e+01
2.844652917405320380e+01,2.442190598595442452e+01,1.975561039236784922e+01,9.886798415381388594e+00
9.698859847064343853e+01,9.698859847064343853e+01,8.968255317209326449e+01,8.766492244635628595e+01
5.005746570141646146e+01,5.372170001322344746e+01,2.931747448899097108e+01,2.729128656943864684e+01
8.848454394643565024e+01,7.995109491184093997e+01,9.139325896581010511e+01,8.827091643275170441e+01
3.521980648163920335e+01,1.558591935441684129e+01,3.592449317586282831e+01,2.864254306717685239e+01
8.551559436651450596e+01,1.272291357016140836e+02,1.020591543634193670e+02,8.580131677376876098e+01
9.004418015206405812e+01,1.025765020435258350e+02,1.394752889218287919e+02,7.193582925864285471e+01
1.225278002986530339e+02,1.196190439299979005e+02,1.422291431674734667e+02,1.257282448920522313e+02
1.115916567438143261e+02,1.115916567438143261e+02,1.278297303251568451e+02,3.069489960998181743e+01
2.533811887904945337e+01,3.429180374125280650e+01,4.744656029648151474e+01,5.463861367162451188e+01
4.378314103795128176e+01,3.041743601954122411e+01,1.473827705540186805e+01,-2.746115114544220415e+00
1.693127294882522449e+01,1.693127294882522449e+01,1.693127294882522449e+01,1.391306118780172874e+01
4.001786400786702558e+01,4.681404355478478863e+01,2.404880853084334902e+01,2.547840403420491739e+01
5.725305908585478498e+00,6.847677184447075405e+00,1.114894042813526198e+01,8.000901867079292629e+00
2.986492244181450246e+02,2.977809493245870271e+02,3.003545939316500153e+02,2.999663297806171158e+02
5.755797640345002009e+01,5.802366546852378804e+01,6.360884770061486648e+01,6.056480496412490311e+01
4.722330130004363014e+01,4.770422456982059600e+01,3.856346549616634434e+01,4.270776907970104475e+01
8.012715364375492300e+01,7.703102473942439588e+01,8.218433810731062295e+01,9.125304833858665177e+01
6.657266754073229720e+01,5.682252226273435980e+01,8.913286058027070169e+01,9.132423997623965306e+01
7.552315690030793860e+01,6.911378646656368119e+01,8.469654930784152214e+01,6.637058487090617120e+01
1.028181544515235402e+02,8.042657538104472792e+01,8.677617006353997908e+01,1.171575605506286877e+02
1.410583660886123027e+02,1.523428623267363946e+02,1.422227996116346276e+02,1.502995426545303417e+02
6.632042184116706096e+01,6.285128656860781859e+01,6.455354998465534777e+01,7.218340191020192265e+01
1.108808979902884673e+01,1.315830995765819722e+01,1.173334312834419890e+01,1.496125544642245941e+01
2.941829270997975243e+01,3.994260759922732262e+01,9.772014504174880045e+00,2.994304191592878794e+01
3.770018788798632414e+01,4.591677612321468160e+01,8.121923921214806796e+01,6.520266281045033452e+01
1.199849636141656362e+02,1.165556371031022422e+02,1.634223680048818892e+02,1.197373457135432915e+02
7.325086199804572118e+01,8.353422032101397576e+01,9.148163486573719183e+01,8.767257334585154638e+01
1.972910410556468719e+02,1.865420041801505704e+02,2.111805422994362402e+02,1.761706950713284812e+02
1.191963723214190018e+01,1.408720295495216490e+01,1.446729458450530892e+01,1.470551092364262047e+01
6.170985176730791721e+01,6.299134395826126109e+01,5.772058719864843823e+01,5.858957315256787979e+01
7.345240092396446130e+01,8.357201504097739075e+01,3.632916384767854368e+01,7.668031332990281612e+01
3.521507517159626133e+01,2.301682919584645504e+01,4.906554403131714537e+01,4.719705202622773754e+01
3.401372492891352550e+01,3.566415710815624607e+01,1.571846328315994157e+01,3.512602760252663359e+01
2.609236657833027095e+01,4.151891835222118488e+01,3.276095181869603579e+01,1.380131441230162359e+01
2.971592321634755081e+02,3.199296707637781765e+02,3.281311717089552644e+02,2.698624298027358464e+02
2.122647970086869762e+01,2.906262773908296992e+01,3.177104531536947718e+01,2.858315178734348194e+01
3.447326541331337779e+01,3.620425791595436493e+01,4.455151926427879516e+01,4.737551881066366377e+01
8.844512784560502894e+01,4.725367246807495292e+01,5.424233775268612590e+01,1.138161024352597792e+02
4.632589973740912370e+01,9.165719879143929916e+01,5.238072369645689008e+01,5.995524516878332832e+01
7.902561602443475408e+01,1.077261869600075954e+02,8.879489916394058469e+01,7.361183033645474438e+01
1.686654225037754884e+01,7.377141737885834161e+00,1.575094781774242136e+01,2.075397333638383657e+01
3.923605816830432502e+01,2.616321324257742731e+01,3.574831884688620676e+01,3.662230585568261887e+01
1.012570814928646179e+01,1.353963132259231195e+01,1.292629920046092451e+01,1.030440877871032335e+01
2.549417231633963254e+01,2.577083412126468431e+01,1.945116914798755658e+01,2.104869981853614291e+01
5.904704455419484788e+01,7.408144814923483068e+01,8.151466247971595180e+01,8.502763973495805772e+01
1.493728844809512282e+02,1.418243470369424131e+02,1.494802862525788214e+02,1.547070681104519281e+02
1.579197705958295046e+02,1.116791830956279341e+02,1.266717701556487157e+02,1.138316313762184961e+02
9.296066509912047593e+01,9.225167115797961515e+01,8.811897883457714897e+01,1.113077177970169629e+02
4.765249298250054721e+01,5.836553850330248849e+01,6.013005443843314879e+01,4.429158150136929351e+01
5.467787852974974072e+01,5.430557775437102208e+01,2.902134594351128172e+01,3.402812586849354659e+01
4.273606932621514254e+00,2.968607753003625760e+01,-5.574804292368490621e+00,1.363096508274313656e+01
1.906131142228998669e+02,2.369847027954628516e+02,2.836089174515698801e+02,2.836089174515698801e+02
1.342717273878209880e+02,1.588313589054121735e+02,1.737103154087902510e+02,1.198073928506127146e+02
2.744667624155673025e+01,9.302834380479981746e+01,6.107992201690593248e+01,6.014548066299416007e+01
4.820047115234595481e+01,2.648524839884415982e+01,8.668183960141602995e+01,7.683632689558416473e+01
2.325566457933327769e+01,2.610877644749471571e+01,2.174300043921102343e+01,3.078433879025068265e+01
5.783316424522485732e+01,1.572100133704972080e+01,4.136789083155270674e+01,4.731924983674849017e+01
1.008078605778992198e+02,1.070348393457385754e+02,6.462047637399123801e+01,7.211316070279607970e+01
7.451988881398207809e+00,1.742938427095320719e+01,3.234714427996085551e+00,1.312940147652407319e+01
8.034692328457521171e+01,8.094382051852909399e+01,8.375359948009413813e+01,8.355168979077814129e+01
5.353135851852342597e+01,5.278042048253531959e+01,8.077618247820149122e+01,7.081832154509001498e+01
2.947383248415642143e+01,2.922710397059816856e+01,3.893937428413168789e+01,2.028567377828366958e+01
1.447158960594214250e+02,1.474188976521091092e+02,1.301560093218345173e+02,7.465567035297326015e+01
1.654306717474417354e+01,2.330745736693805981e+01,1.220069610973363083e+01,1.946337072038711824e+01
8.729622310192810630e+01,8.355400269984151862e+01,8.344394570768301378e+01,7.574956477388671772e+01
1.381801341991640868e+02,1.269560662181997230e+02,1.061916944364459994e+02,1.109774229902158709e+02
4.989655308676454126e+01,6.805203829261614601e+01,1.442715082133598230e+02,9.458273856952749270e+01
7.917856523769268051e+01,8.727715563913972119e+01,9.477432479682858002e+01,1.084415867334645611e+02
2.858190664181691432e+01,5.423210383064947848e+01,5.496137118948349354e+01,5.933823310558516084e+01
5.340720960106094140e+01,5.765026233001764666e+01,3.797864838544101929e+01,5.023433279979991539e+01
2.433126143047517331e+01,2.118279573455910025e+01,2.798869120796225829e+01,2.856558090780601944e+01
4.722711408226592766e+01,3.792299615847700522e+01,4.024839960464674959e+01,3.973415169935068292e+01
5.167316155105405073e+01,3.545019701804849888e+01,4.800138646908580142e+01,3.946508490576729855e+01
1.291443737222053301e+02,1.431797254446103125e+02,1.504797911149610172e+02,1.444500077563577634e+02
1.309369731727107933e+02,1.233223565543601978e+02,1.282971500312397950e+02,1.483566669275680852e+02
5.943576600509883434e+01,4.031550303846056238e+01,5.405117566609988700e+01,4.918639142674088305e+01
2.308774213609383708e+01,3.241644975867393441e+01,1.708130139495022348e+01,4.556360939416198619e+01
2.668002599018909393e+01,2.741370471395657660e+01,2.333649285811137730e+01,2.621168757886263734e+01
2.307907286718129853e+02,1.777156594056212953e+02,1.628619091652639099e+02,1.860561163913771452e+02
7.488066032592044508e+01,9.159287585795587461e+01,8.801646338038830208e+01,7.998356173497441546e+01
6.709001796953852192e+01,7.357844681393390829e+01,7.229950120902505262e+01,6.408753737574637910e+01
4.037862279959063017e+01,7.808990605836531707e+00,2.417221771445326084e+01,-2.657507598422154338e+00
6.467680349973987575e+01,7.917566008796566734e+01,7.600114283869268661e+01,6.663721804494639400e+01
3.691080514894034792e+01,3.855175054872333362e+01,4.069178013935591309e+01,3.698252118855548076e+01
1.542573481732430878e+02,1.508050150525818367e+02,1.189944739380165259e+02,1.381851806052901850e+02
